Line,lat-long
Main MAX - Southbound,
MMAX - Southbound,
Troost MAX - Northbound,
Troost MAX - Northbound,
Troost MAX - Southbound,
Troost MAX - Southbound,
9 9th St. - Westbound,
9 9th St. - Eastbound,
10 Woodland-Brooklyn - Southbound,
10 Woodland-Brooklyn - Northbound,
11 Northeast-Westside - Westbound,
11 Northeast-Westside - Eastbound,
11 Northeast-Westside - Westbound,
11 Northeast-Westside - Eastbound,
12 12th Street - Eastbound,
12 12th Street - Westbound,
15 Truman Rd. - Westbound,
15 Truman Rd. - Eastbound,
16 Truman Rd. Limited - Westbound from Highleah,
16 Truman Rd. Limited - Eastbound to Highleah,
16 Truman Rd. Limited - Westbound from Farview,
16 Truman Rd. Limited - Eastbound to Farview,
18 Indiana - Northbound,
18 Indiana - Southbound,
18 Indiana - Southbound,
18 Indiana - Northbound,
18 Indiana - Northbound,
18 Indiana - Southbound,
21 Cleveland-Antioch - Southbound,
21 Cleveland-Antioch - Northbound,
23 23rd St. - Eastbound,
23 23rd St. - Westbound,
24 Independence - Eastbound,
24 Independence - Westbound,
24 Independence - Westbound,
24 Independence - Eastbound,
24 Independence - Eastbound,
24 Independence - Westbound,
24 Independence - Eastbound,
24 Independence - Westbound,
25 Troost - Northbound,
25 Troost - Southbound,
27 27th St. - Eastbound,
27 27th Street - Westbound,
28 Blue Ridge - Northbound,
28 Blue Ridge - Southbound,
29 Blue Ridge Limited,
31 31st St. - Eastbound,
31 31st St. - Westbound,
35 35th Street,
39 39th Street - Westbound,
39 39th Street - Eastbound,
47 Broadway - Southbound,
47 Broadway - Northbound,
51 Ward Pkwy. - Northbound,
51 Ward Pkwy. - Southbound,
52 Ward Pkwy. Limited -Northbound,
52 Ward Pkwy. Limited - Southbound,
55 Universities-Crossroads - Southbound,
55 Universities-Crossroads - Northbound,
57 Wornall - Southbound,
57 Wornall - Northbound,
63 63rd St. - Eastbound,
63 63rd St. - Westbound,
63 63rd St. - Eastbound,
63 63rd St. - Westbound,
71 Prospect - Northbound,
Prospect MAX - Southbound,
Prospect MAX - Northbound,
75 75th Street - Westbound,
75 75th Street - Eastbound,
75 75th Street - Westbound,
75 75th Street - Eastbound,
77 Casino Cruiser - Northbound,
77 Casino Cruiser - Southbound,
77 Casino Cruiser - Northbound,
85 Paseo - Southbound,
85 Paseo - Northbound,
71 Prospect - Southbound,
